Id,SalePrice
1461,149293.2
1462,172845.06
1463,183669.72
1464,181218.62
1465,179874.06
1466,174602.03
1467,162647.25
1468,160435.94
1469,184796.02
1470,135247.31
1471,190025.89
1472,105731.87
1473,118210.84
1474,166114.86
1475,116115.23
1476,279954.97
1477,233470.89
1478,242321.14
1479,253146.83
1480,378774.66
1481,278716.6
1482,188780.77
1483,179933.0
1484,159911.95
1485,135042.45
1486,183444.58
1487,304592.9
1488,240088.88
1489,183626.88
1490,202735.78
1491,181090.44
1492,134305.67
1493,187331.69
1494,263911.03
1495,260483.19
1496,203669.66
1497,189584.62
1498,139433.16
1499,139433.16
1500,141734.84
1501,164903.03
1502,129163.64
1503,229027.16
1504,207532.16
1505,209906.72
1506,244576.62
1507,269134.06
1508,228021.62
1509,171648.44
1510,173183.56
1511,171445.31
1512,206791.9
1513,173694.12
1514,198423.28
1515,243269.52
1516,170987.73
1517,147627.81
1518,221357.83
1519,210071.72
1520,151208.69
1521,158688.94
1522,193381.81
1523,145642.16
1524,132944.19
1525,131409.61
1526,130611.734
1527,136611.6
1528,138660.33
1529,166262.84
1530,188715.75
1531,171273.83
1532,107614.42
1533,190285.69
1534,138400.0
1535,173183.8
1536,151682.62
1537,138196.77
1538,167265.95
1539,206087.06
1540,189234.55
1541,173082.9
1542,177786.8
1543,210549.67
1544,100880.75
1545,119831.46
1546,143903.12
1547,151954.5
1548,151501.77
1549,134560.31
1550,177457.73
1551,144136.1
1552,209208.28
1553,140804.55
1554,131197.92
1555,203407.78
1556,125932.78
1557,151034.6
1558,104926.33
1559,158297.72
1560,181405.83
1561,210294.45
1562,127984.92
1563,117421.48
1564,193175.86
1565,160935.39
1566,211807.7
1567,110615.734
1568,218624.03
1569,184273.6
1570,133320.22
1571,151123.1
1572,158257.62
1573,210200.31
1574,179286.16
1575,198775.98
1576,230445.77
1577,180169.02
1578,159405.81
1579,143670.31
1580,187425.48
1581,137793.73
1582,131980.19
1583,282076.66
1584,228895.31
1585,124713.914
1586,57548.02
1587,104514.18
1588,159083.28
1589,141131.28
1590,144364.62
1591,110312.98
1592,156362.56
1593,124282.87
1594,173590.66
1595,153298.97
1596,235291.08
1597,224766.66
1598,159835.19
1599,155014.5
1600,171274.67
1601,72021.75
1602,143949.0
1603,121016.734
1604,220498.03
1605,225275.92
1606,176153.97
1607,280728.1
1608,196868.44
1609,173152.31
1610,139515.03
1611,169640.78
1612,204489.22
1613,198609.33
1614,124975.22
1615,98561.14
1616,98561.14
1617,117008.766
1618,122698.34
1619,127756.17
1620,258983.12
1621,151512.86
1622,157330.5
1623,232193.02
1624,214346.45
1625,133791.97
1626,198837.4
1627,182415.9
1628,240265.86
1629,151015.75
1630,310540.5
1631,198915.47
1632,226102.44
1633,135308.97
1634,182666.08
1635,160761.44
1636,164125.69
1637,218631.72
1638,209606.06
1639,211170.98
1640,255099.69
1641,199072.17
1642,206714.72
1643,213063.28
1644,203230.55
1645,217014.94
1646,162376.28
1647,169008.5
1648,166386.7
1649,141998.56
1650,136457.9
1651,136457.9
1652,105731.87
1653,107272.77
1654,169621.62
1655,149883.84
1656,166114.86
1657,169621.62
1658,166114.86
1659,118490.8
1660,158393.69
1661,317958.44
1662,299418.1
1663,289898.9
1664,354168.12
1665,253355.42
1666,264868.53
1667,280904.25
1668,259932.1
1669,219917.61
1670,260963.78
1671,239800.31
1672,338788.97
1673,257855.4
1674,240378.33
1675,187298.42
1676,190324.88
1677,186957.69
1678,347473.4
1679,296936.88
1680,258361.81
1681,201979.6
1682,242011.19
1683,192355.33
